phn	cls	pi
sil	XXX	1
spn	XXX	2
P	PLO	3
T	PLO	4
K	PLO	5
B	PLO	6
D	PLO	7
G	PLO	8
CH	AFF	9
JH	AFF	10
F	FRI	11
S	FRI	12
TH	FRI	13
SH	FRI	14
HH	FRI	15
V	FRI	16
Z	FRI	17
DH	FRI	18
ZH	FRI	19
M	NAS	20
N	NAS	21
NG	NAS	22
L	APP	23
R	APP	24
W	APP	25
Y	APP	26
AA	VOW	27
AE	VOW	28
AH	VOW	29
AO	VOW	30
EH	VOW	31
ER	VOW	32
IH	VOW	33
IY	VOW	34
UH	VOW	35
UW	VOW	36
AW	DIP	37
AY	DIP	38
EY	DIP	39
OW	DIP	40
OY	DIP	41
