phn	cls	pi
sil	XXX	1
spn	XXX	2
P	PLO	3
T	PLO	4
K	PLO	5
B	PLO	6
D	PLO	7
G	PLO	8
F	FRI	9
TH	FRI	10
S	FRI	11
SH	FRI	12
HH	FRI	13
V	FRI	14
DH	FRI	15
Z	FRI	16
ZH	FRI	17
CH	AFF	18
JH	AFF	19
M	NAS	20
N	NAS	21
NG	NAS	22
IY	VOW	23
IH	VOW	24
EH	VOW	25
AE	VOW	26
AA	VOW	27
AH	VOW	28
AO	VOW	29
UW	VOW	30
UH	VOW	31
ER	VOW	32
EY	DIP	33
AY	DIP	34
OY	DIP	35
OW	DIP	36
AW	DIP	37
Y	APP	38
W	APP	39
R	APP	40
L	APP	41
