phn	cls	pi
sil	XXX	40
spn	XXX	41
B	PLO	1
D	PLO	2
G	PLO	3
K	PLO	4
P	PLO	5
T	PLO	6
CH	AFF	7
JH	AFF	8
DH	FRI	9
F	FRI	10
HH	FRI	11
S	FRI	12
SH	FRI	13
TH	FRI	14
V	FRI	15
Z	FRI	16
ZH	FRI	17
M	NAS	18
N	NAS	19
NG	NAS	20
L	APP	21
R	APP	22
W	APP	23
Y	APP	24
AA	VOW	25
AE	VOW	26
AH	VOW	27
AO	VOW	28
EH	VOW	29
ER	VOW	30
IH	VOW	31
IY	VOW	32
UH	VOW	33
UW	VOW	34
AW	DIP	35
AY	DIP	36
EY	DIP	37
OW	DIP	38
OY	DIP	39
