phn	cls	pi
K-spn-UW	XXX	5836
K-spn-UH	XXX	5837
K-spn-EH	XXX	5838
K-spn-ER	XXX	5839
K-spn-AO	XXX	5840
K-spn-AE	XXX	5841
K-spn-AH	XXX	5842
K-spn-AA	XXX	5843
K-spn-EY	XXX	5844
K-spn-OW	XXX	5845
K-spn-OY	XXX	5846
K-spn-AY	XXX	5847
K-spn-AW	XXX	5848
B-spn-sta	XXX	5849
B-spn-stp	XXX	5850
B-spn-sil	XXX	5851
B-spn-spn	XXX	5852
B-spn-P	XXX	5853
B-spn-T	XXX	5854
B-spn-K	XXX	5855
B-spn-B	XXX	5856
B-spn-D	XXX	5857
B-spn-G	XXX	5858
B-spn-CH	XXX	5859
B-spn-JH	XXX	5860
B-spn-F	XXX	5861
B-spn-S	XXX	5862
B-spn-TH	XXX	5863
B-spn-SH	XXX	5864
B-spn-HH	XXX	5865
B-spn-V	XXX	5866
B-spn-Z	XXX	5867
B-spn-DH	XXX	5868
B-spn-ZH	XXX	5869
B-spn-M	XXX	5870
B-spn-N	XXX	5871
B-spn-NG	XXX	5872
B-spn-L	XXX	5873
B-spn-R	XXX	5874
B-spn-Y	XXX	5875
B-spn-W	XXX	5876
B-spn-IY	XXX	5877
B-spn-IH	XXX	5878
B-spn-UW	XXX	5879
B-spn-UH	XXX	5880
B-spn-EH	XXX	5881
B-spn-ER	XXX	5882
B-spn-AO	XXX	5883
B-spn-AE	XXX	5884
B-spn-AH	XXX	5885
B-spn-AA	XXX	5886
B-spn-EY	XXX	5887
B-spn-OW	XXX	5888
B-spn-OY	XXX	5889
B-spn-AY	XXX	5890
B-spn-AW	XXX	5891
D-spn-sta	XXX	5892
D-spn-stp	XXX	5893
D-spn-sil	XXX	5894
D-spn-spn	XXX	5895
D-spn-P	XXX	5896
D-spn-T	XXX	5897
D-spn-K	XXX	5898
D-spn-B	XXX	5899
D-spn-D	XXX	5900
D-spn-G	XXX	5901
D-spn-CH	XXX	5902
D-spn-JH	XXX	5903
D-spn-F	XXX	5904
D-spn-S	XXX	5905
D-spn-TH	XXX	5906
D-spn-SH	XXX	5907
D-spn-HH	XXX	5908
D-spn-V	XXX	5909
D-spn-Z	XXX	5910
D-spn-DH	XXX	5911
D-spn-ZH	XXX	5912
D-spn-M	XXX	5913
D-spn-N	XXX	5914
D-spn-NG	XXX	5915
D-spn-L	XXX	5916
D-spn-R	XXX	5917
D-spn-Y	XXX	5918
D-spn-W	XXX	5919
D-spn-IY	XXX	5920
D-spn-IH	XXX	5921
D-spn-UW	XXX	5922
D-spn-UH	XXX	5923
D-spn-EH	XXX	5924
D-spn-ER	XXX	5925
D-spn-AO	XXX	5926
D-spn-AE	XXX	5927
D-spn-AH	XXX	5928
D-spn-AA	XXX	5929
D-spn-EY	XXX	5930
D-spn-OW	XXX	5931
D-spn-OY	XXX	5932
D-spn-AY	XXX	5933
D-spn-AW	XXX	5934
G-spn-sta	XXX	5935
G-spn-stp	XXX	5936
G-spn-sil	XXX	5937
G-spn-spn	XXX	5938
G-spn-P	XXX	5939
G-spn-T	XXX	5940
G-spn-K	XXX	5941
G-spn-B	XXX	5942
G-spn-D	XXX	5943
G-spn-G	XXX	5944
G-spn-CH	XXX	5945
G-spn-JH	XXX	5946
G-spn-F	XXX	5947
G-spn-S	XXX	5948
G-spn-TH	XXX	5949
G-spn-SH	XXX	5950
G-spn-HH	XXX	5951
G-spn-V	XXX	5952
G-spn-Z	XXX	5953
G-spn-DH	XXX	5954
G-spn-ZH	XXX	5955
G-spn-M	XXX	5956
G-spn-N	XXX	5957
G-spn-NG	XXX	5958
G-spn-L	XXX	5959
G-spn-R	XXX	5960
G-spn-Y	XXX	5961
G-spn-W	XXX	5962
G-spn-IY	XXX	5963
G-spn-IH	XXX	5964
G-spn-UW	XXX	5965
G-spn-UH	XXX	5966
G-spn-EH	XXX	5967
G-spn-ER	XXX	5968
G-spn-AO	XXX	5969
G-spn-AE	XXX	5970
G-spn-AH	XXX	5971
G-spn-AA	XXX	5972
G-spn-EY	XXX	5973
G-spn-OW	XXX	5974
G-spn-OY	XXX	5975
G-spn-AY	XXX	5976
G-spn-AW	XXX	5977
CH-spn-sta	XXX	5978
CH-spn-stp	XXX	5979
CH-spn-sil	XXX	5980
CH-spn-spn	XXX	5981
CH-spn-P	XXX	5982
CH-spn-T	XXX	5983
CH-spn-K	XXX	5984
CH-spn-B	XXX	5985
CH-spn-D	XXX	5986
CH-spn-G	XXX	5987
CH-spn-CH	XXX	5988
CH-spn-JH	XXX	5989
CH-spn-F	XXX	5990
CH-spn-S	XXX	5991
CH-spn-TH	XXX	5992
CH-spn-SH	XXX	5993
CH-spn-HH	XXX	5994
CH-spn-V	XXX	5995
CH-spn-Z	XXX	5996
CH-spn-DH	XXX	5997
CH-spn-ZH	XXX	5998
CH-spn-M	XXX	5999
CH-spn-N	XXX	6000
CH-spn-NG	XXX	6001
CH-spn-L	XXX	6002
CH-spn-R	XXX	6003
CH-spn-Y	XXX	6004
CH-spn-W	XXX	6005
CH-spn-IY	XXX	6006
CH-spn-IH	XXX	6007
CH-spn-UW	XXX	6008
CH-spn-UH	XXX	6009
CH-spn-EH	XXX	6010
CH-spn-ER	XXX	6011
CH-spn-AO	XXX	6012
CH-spn-AE	XXX	6013
CH-spn-AH	XXX	6014
CH-spn-AA	XXX	6015
CH-spn-EY	XXX	6016
CH-spn-OW	XXX	6017
CH-spn-OY	XXX	6018
CH-spn-AY	XXX	6019
CH-spn-AW	XXX	6020
JH-spn-sta	XXX	6021
JH-spn-stp	XXX	6022
JH-spn-sil	XXX	6023
JH-spn-spn	XXX	6024
JH-spn-P	XXX	6025
JH-spn-T	XXX	6026
JH-spn-K	XXX	6027
JH-spn-B	XXX	6028
JH-spn-D	XXX	6029
JH-spn-G	XXX	6030
JH-spn-CH	XXX	6031
JH-spn-JH	XXX	6032
JH-spn-F	XXX	6033
JH-spn-S	XXX	6034
JH-spn-TH	XXX	6035
JH-spn-SH	XXX	6036
JH-spn-HH	XXX	6037
JH-spn-V	XXX	6038
JH-spn-Z	XXX	6039
JH-spn-DH	XXX	6040
JH-spn-ZH	XXX	6041
JH-spn-M	XXX	6042
JH-spn-N	XXX	6043
JH-spn-NG	XXX	6044
JH-spn-L	XXX	6045
JH-spn-R	XXX	6046
JH-spn-Y	XXX	6047
JH-spn-W	XXX	6048
JH-spn-IY	XXX	6049
JH-spn-IH	XXX	6050
JH-spn-UW	XXX	6051
JH-spn-UH	XXX	6052
JH-spn-EH	XXX	6053
JH-spn-ER	XXX	6054
JH-spn-AO	XXX	6055
JH-spn-AE	XXX	6056
JH-spn-AH	XXX	6057
JH-spn-AA	XXX	6058
JH-spn-EY	XXX	6059
JH-spn-OW	XXX	6060
JH-spn-OY	XXX	6061
JH-spn-AY	XXX	6062
JH-spn-AW	XXX	6063
F-spn-sta	XXX	6064
F-spn-stp	XXX	6065
F-spn-sil	XXX	6066
F-spn-spn	XXX	6067
F-spn-P	XXX	6068
F-spn-T	XXX	6069
F-spn-K	XXX	6070
F-spn-B	XXX	6071
F-spn-D	XXX	6072
F-spn-G	XXX	6073
F-spn-CH	XXX	6074
F-spn-JH	XXX	6075
F-spn-F	XXX	6076
F-spn-S	XXX	6077
F-spn-TH	XXX	6078
F-spn-SH	XXX	6079
F-spn-HH	XXX	6080
F-spn-V	XXX	6081
F-spn-Z	XXX	6082
F-spn-DH	XXX	6083
F-spn-ZH	XXX	6084
F-spn-M	XXX	6085
F-spn-N	XXX	6086
F-spn-NG	XXX	6087
F-spn-L	XXX	6088
F-spn-R	XXX	6089
F-spn-Y	XXX	6090
F-spn-W	XXX	6091
F-spn-IY	XXX	6092
F-spn-IH	XXX	6093
F-spn-UW	XXX	6094
F-spn-UH	XXX	6095
F-spn-EH	XXX	6096
F-spn-ER	XXX	6097
F-spn-AO	XXX	6098
F-spn-AE	XXX	6099
F-spn-AH	XXX	6100
F-spn-AA	XXX	6101
F-spn-EY	XXX	6102
F-spn-OW	XXX	6103
F-spn-OY	XXX	6104
F-spn-AY	XXX	6105
F-spn-AW	XXX	6106
S-spn-sta	XXX	6107
S-spn-stp	XXX	6108
S-spn-sil	XXX	6109
S-spn-spn	XXX	6110
S-spn-P	XXX	6111
S-spn-T	XXX	6112
S-spn-K	XXX	6113
S-spn-B	XXX	6114
S-spn-D	XXX	6115
S-spn-G	XXX	6116
S-spn-CH	XXX	6117
S-spn-JH	XXX	6118
S-spn-F	XXX	6119
S-spn-S	XXX	6120
S-spn-TH	XXX	6121
S-spn-SH	XXX	6122
S-spn-HH	XXX	6123
S-spn-V	XXX	6124
S-spn-Z	XXX	6125
S-spn-DH	XXX	6126
S-spn-ZH	XXX	6127
S-spn-M	XXX	6128
S-spn-N	XXX	6129
S-spn-NG	XXX	6130
S-spn-L	XXX	6131
S-spn-R	XXX	6132
S-spn-Y	XXX	6133
S-spn-W	XXX	6134
S-spn-IY	XXX	6135
S-spn-IH	XXX	6136
S-spn-UW	XXX	6137
S-spn-UH	XXX	6138
S-spn-EH	XXX	6139
S-spn-ER	XXX	6140
S-spn-AO	XXX	6141
S-spn-AE	XXX	6142
S-spn-AH	XXX	6143
S-spn-AA	XXX	6144
S-spn-EY	XXX	6145
S-spn-OW	XXX	6146
S-spn-OY	XXX	6147
S-spn-AY	XXX	6148
S-spn-AW	XXX	6149
TH-spn-sta	XXX	6150
TH-spn-stp	XXX	6151
TH-spn-sil	XXX	6152
TH-spn-spn	XXX	6153
TH-spn-P	XXX	6154
TH-spn-T	XXX	6155
TH-spn-K	XXX	6156
TH-spn-B	XXX	6157
TH-spn-D	XXX	6158
TH-spn-G	XXX	6159
TH-spn-CH	XXX	6160
TH-spn-JH	XXX	6161
TH-spn-F	XXX	6162
TH-spn-S	XXX	6163
TH-spn-TH	XXX	6164
TH-spn-SH	XXX	6165
TH-spn-HH	XXX	6166
TH-spn-V	XXX	6167
TH-spn-Z	XXX	6168
TH-spn-DH	XXX	6169
TH-spn-ZH	XXX	6170
TH-spn-M	XXX	6171
TH-spn-N	XXX	6172
TH-spn-NG	XXX	6173
TH-spn-L	XXX	6174
TH-spn-R	XXX	6175
TH-spn-Y	XXX	6176
TH-spn-W	XXX	6177
TH-spn-IY	XXX	6178
TH-spn-IH	XXX	6179
TH-spn-UW	XXX	6180
TH-spn-UH	XXX	6181
TH-spn-EH	XXX	6182
TH-spn-ER	XXX	6183
TH-spn-AO	XXX	6184
TH-spn-AE	XXX	6185
TH-spn-AH	XXX	6186
TH-spn-AA	XXX	6187
TH-spn-EY	XXX	6188
TH-spn-OW	XXX	6189
TH-spn-OY	XXX	6190
TH-spn-AY	XXX	6191
TH-spn-AW	XXX	6192
SH-spn-sta	XXX	6193
SH-spn-stp	XXX	6194
SH-spn-sil	XXX	6195
SH-spn-spn	XXX	6196
SH-spn-P	XXX	6197
SH-spn-T	XXX	6198
SH-spn-K	XXX	6199
SH-spn-B	XXX	6200
SH-spn-D	XXX	6201
SH-spn-G	XXX	6202
SH-spn-CH	XXX	6203
SH-spn-JH	XXX	6204
SH-spn-F	XXX	6205
SH-spn-S	XXX	6206
SH-spn-TH	XXX	6207
SH-spn-SH	XXX	6208
SH-spn-HH	XXX	6209
SH-spn-V	XXX	6210
SH-spn-Z	XXX	6211
SH-spn-DH	XXX	6212
SH-spn-ZH	XXX	6213
SH-spn-M	XXX	6214
SH-spn-N	XXX	6215
SH-spn-NG	XXX	6216
SH-spn-L	XXX	6217
SH-spn-R	XXX	6218
SH-spn-Y	XXX	6219
SH-spn-W	XXX	6220
SH-spn-IY	XXX	6221
SH-spn-IH	XXX	6222
SH-spn-UW	XXX	6223
SH-spn-UH	XXX	6224
SH-spn-EH	XXX	6225
SH-spn-ER	XXX	6226
SH-spn-AO	XXX	6227
SH-spn-AE	XXX	6228
SH-spn-AH	XXX	6229
SH-spn-AA	XXX	6230
SH-spn-EY	XXX	6231
SH-spn-OW	XXX	6232
SH-spn-OY	XXX	6233
SH-spn-AY	XXX	6234
SH-spn-AW	XXX	6235
HH-spn-sta	XXX	6236
HH-spn-stp	XXX	6237
HH-spn-sil	XXX	6238
HH-spn-spn	XXX	6239
HH-spn-P	XXX	6240
HH-spn-T	XXX	6241
HH-spn-K	XXX	6242
HH-spn-B	XXX	6243
HH-spn-D	XXX	6244
HH-spn-G	XXX	6245
HH-spn-CH	XXX	6246
HH-spn-JH	XXX	6247
HH-spn-F	XXX	6248
HH-spn-S	XXX	6249
HH-spn-TH	XXX	6250
HH-spn-SH	XXX	6251
HH-spn-HH	XXX	6252
HH-spn-V	XXX	6253
HH-spn-Z	XXX	6254
HH-spn-DH	XXX	6255
HH-spn-ZH	XXX	6256
HH-spn-M	XXX	6257
HH-spn-N	XXX	6258
HH-spn-NG	XXX	6259
HH-spn-L	XXX	6260
HH-spn-R	XXX	6261
HH-spn-Y	XXX	6262
HH-spn-W	XXX	6263
HH-spn-IY	XXX	6264
HH-spn-IH	XXX	6265
HH-spn-UW	XXX	6266
HH-spn-UH	XXX	6267
HH-spn-EH	XXX	6268
HH-spn-ER	XXX	6269
HH-spn-AO	XXX	6270
HH-spn-AE	XXX	6271
HH-spn-AH	XXX	6272
HH-spn-AA	XXX	6273
HH-spn-EY	XXX	6274
HH-spn-OW	XXX	6275
HH-spn-OY	XXX	6276
HH-spn-AY	XXX	6277
HH-spn-AW	XXX	6278
V-spn-sta	XXX	6279
V-spn-stp	XXX	6280
V-spn-sil	XXX	6281
V-spn-spn	XXX	6282
V-spn-P	XXX	6283
V-spn-T	XXX	6284
V-spn-K	XXX	6285
V-spn-B	XXX	6286
V-spn-D	XXX	6287
V-spn-G	XXX	6288
V-spn-CH	XXX	6289
V-spn-JH	XXX	6290
V-spn-F	XXX	6291
V-spn-S	XXX	6292
V-spn-TH	XXX	6293
V-spn-SH	XXX	6294
V-spn-HH	XXX	6295
V-spn-V	XXX	6296
V-spn-Z	XXX	6297
V-spn-DH	XXX	6298
V-spn-ZH	XXX	6299
V-spn-M	XXX	6300
V-spn-N	XXX	6301
V-spn-NG	XXX	6302
V-spn-L	XXX	6303
V-spn-R	XXX	6304
V-spn-Y	XXX	6305
V-spn-W	XXX	6306
V-spn-IY	XXX	6307
V-spn-IH	XXX	6308
V-spn-UW	XXX	6309
V-spn-UH	XXX	6310
V-spn-EH	XXX	6311
V-spn-ER	XXX	6312
V-spn-AO	XXX	6313
V-spn-AE	XXX	6314
V-spn-AH	XXX	6315
V-spn-AA	XXX	6316
V-spn-EY	XXX	6317
V-spn-OW	XXX	6318
V-spn-OY	XXX	6319
V-spn-AY	XXX	6320
V-spn-AW	XXX	6321
Z-spn-sta	XXX	6322
Z-spn-stp	XXX	6323
Z-spn-sil	XXX	6324
Z-spn-spn	XXX	6325
Z-spn-P	XXX	6326
Z-spn-T	XXX	6327
Z-spn-K	XXX	6328
Z-spn-B	XXX	6329
Z-spn-D	XXX	6330
Z-spn-G	XXX	6331
Z-spn-CH	XXX	6332
Z-spn-JH	XXX	6333
Z-spn-F	XXX	6334
Z-spn-S	XXX	6335
Z-spn-TH	XXX	6336
Z-spn-SH	XXX	6337
Z-spn-HH	XXX	6338
Z-spn-V	XXX	6339
Z-spn-Z	XXX	6340
Z-spn-DH	XXX	6341
Z-spn-ZH	XXX	6342
Z-spn-M	XXX	6343
Z-spn-N	XXX	6344
Z-spn-NG	XXX	6345
Z-spn-L	XXX	6346
Z-spn-R	XXX	6347
Z-spn-Y	XXX	6348
Z-spn-W	XXX	6349
Z-spn-IY	XXX	6350
Z-spn-IH	XXX	6351
Z-spn-UW	XXX	6352
Z-spn-UH	XXX	6353
Z-spn-EH	XXX	6354
Z-spn-ER	XXX	6355
Z-spn-AO	XXX	6356
Z-spn-AE	XXX	6357
Z-spn-AH	XXX	6358
Z-spn-AA	XXX	6359
Z-spn-EY	XXX	6360
Z-spn-OW	XXX	6361
Z-spn-OY	XXX	6362
Z-spn-AY	XXX	6363
Z-spn-AW	XXX	6364
DH-spn-sta	XXX	6365
DH-spn-stp	XXX	6366
DH-spn-sil	XXX	6367
DH-spn-spn	XXX	6368
DH-spn-P	XXX	6369
DH-spn-T	XXX	6370
DH-spn-K	XXX	6371
DH-spn-B	XXX	6372
DH-spn-D	XXX	6373
DH-spn-G	XXX	6374
DH-spn-CH	XXX	6375
DH-spn-JH	XXX	6376
DH-spn-F	XXX	6377
DH-spn-S	XXX	6378
DH-spn-TH	XXX	6379
DH-spn-SH	XXX	6380
DH-spn-HH	XXX	6381
DH-spn-V	XXX	6382
DH-spn-Z	XXX	6383
DH-spn-DH	XXX	6384
DH-spn-ZH	XXX	6385
DH-spn-M	XXX	6386
DH-spn-N	XXX	6387
DH-spn-NG	XXX	6388
DH-spn-L	XXX	6389
DH-spn-R	XXX	6390
DH-spn-Y	XXX	6391
DH-spn-W	XXX	6392
DH-spn-IY	XXX	6393
DH-spn-IH	XXX	6394
DH-spn-UW	XXX	6395
DH-spn-UH	XXX	6396
DH-spn-EH	XXX	6397
DH-spn-ER	XXX	6398
DH-spn-AO	XXX	6399
DH-spn-AE	XXX	6400
DH-spn-AH	XXX	6401
DH-spn-AA	XXX	6402
DH-spn-EY	XXX	6403
DH-spn-OW	XXX	6404
DH-spn-OY	XXX	6405
DH-spn-AY	XXX	6406
DH-spn-AW	XXX	6407
ZH-spn-sta	XXX	6408
ZH-spn-stp	XXX	6409
ZH-spn-sil	XXX	6410
ZH-spn-spn	XXX	6411
ZH-spn-P	XXX	6412
ZH-spn-T	XXX	6413
ZH-spn-K	XXX	6414
ZH-spn-B	XXX	6415
ZH-spn-D	XXX	6416
ZH-spn-G	XXX	6417
ZH-spn-CH	XXX	6418
ZH-spn-JH	XXX	6419
ZH-spn-F	XXX	6420
ZH-spn-S	XXX	6421
ZH-spn-TH	XXX	6422
ZH-spn-SH	XXX	6423
ZH-spn-HH	XXX	6424
ZH-spn-V	XXX	6425
ZH-spn-Z	XXX	6426
ZH-spn-DH	XXX	6427
ZH-spn-ZH	XXX	6428
ZH-spn-M	XXX	6429
ZH-spn-N	XXX	6430
ZH-spn-NG	XXX	6431
ZH-spn-L	XXX	6432
ZH-spn-R	XXX	6433
ZH-spn-Y	XXX	6434
ZH-spn-W	XXX	6435
ZH-spn-IY	XXX	6436
ZH-spn-IH	XXX	6437
ZH-spn-UW	XXX	6438
ZH-spn-UH	XXX	6439
ZH-spn-EH	XXX	6440
ZH-spn-ER	XXX	6441
ZH-spn-AO	XXX	6442
ZH-spn-AE	XXX	6443
ZH-spn-AH	XXX	6444
ZH-spn-AA	XXX	6445
ZH-spn-EY	XXX	6446
ZH-spn-OW	XXX	6447
ZH-spn-OY	XXX	6448
ZH-spn-AY	XXX	6449
ZH-spn-AW	XXX	6450
M-spn-sta	XXX	6451
M-spn-stp	XXX	6452
M-spn-sil	XXX	6453
M-spn-spn	XXX	6454
M-spn-P	XXX	6455
M-spn-T	XXX	6456
M-spn-K	XXX	6457
M-spn-B	XXX	6458
M-spn-D	XXX	6459
M-spn-G	XXX	6460
M-spn-CH	XXX	6461
M-spn-JH	XXX	6462
M-spn-F	XXX	6463
M-spn-S	XXX	6464
M-spn-TH	XXX	6465
M-spn-SH	XXX	6466
M-spn-HH	XXX	6467
M-spn-V	XXX	6468
M-spn-Z	XXX	6469
M-spn-DH	XXX	6470
M-spn-ZH	XXX	6471
M-spn-M	XXX	6472
M-spn-N	XXX	6473
M-spn-NG	XXX	6474
M-spn-L	XXX	6475
M-spn-R	XXX	6476
M-spn-Y	XXX	6477
M-spn-W	XXX	6478
M-spn-IY	XXX	6479
M-spn-IH	XXX	6480
M-spn-UW	XXX	6481
M-spn-UH	XXX	6482
M-spn-EH	XXX	6483
M-spn-ER	XXX	6484
M-spn-AO	XXX	6485
M-spn-AE	XXX	6486
M-spn-AH	XXX	6487
M-spn-AA	XXX	6488
M-spn-EY	XXX	6489
M-spn-OW	XXX	6490
M-spn-OY	XXX	6491
M-spn-AY	XXX	6492
M-spn-AW	XXX	6493
N-spn-sta	XXX	6494
N-spn-stp	XXX	6495
N-spn-sil	XXX	6496
N-spn-spn	XXX	6497
N-spn-P	XXX	6498
N-spn-T	XXX	6499
N-spn-K	XXX	6500
N-spn-B	XXX	6501
N-spn-D	XXX	6502
N-spn-G	XXX	6503
N-spn-CH	XXX	6504
N-spn-JH	XXX	6505
N-spn-F	XXX	6506
N-spn-S	XXX	6507
N-spn-TH	XXX	6508
N-spn-SH	XXX	6509
N-spn-HH	XXX	6510
N-spn-V	XXX	6511
N-spn-Z	XXX	6512
N-spn-DH	XXX	6513
N-spn-ZH	XXX	6514
N-spn-M	XXX	6515
N-spn-N	XXX	6516
N-spn-NG	XXX	6517
N-spn-L	XXX	6518
N-spn-R	XXX	6519
N-spn-Y	XXX	6520
N-spn-W	XXX	6521
N-spn-IY	XXX	6522
N-spn-IH	XXX	6523
N-spn-UW	XXX	6524
N-spn-UH	XXX	6525
N-spn-EH	XXX	6526
N-spn-ER	XXX	6527
N-spn-AO	XXX	6528
N-spn-AE	XXX	6529
N-spn-AH	XXX	6530
N-spn-AA	XXX	6531
N-spn-EY	XXX	6532
N-spn-OW	XXX	6533
N-spn-OY	XXX	6534
N-spn-AY	XXX	6535
N-spn-AW	XXX	6536
NG-spn-sta	XXX	6537
NG-spn-stp	XXX	6538
NG-spn-sil	XXX	6539
NG-spn-spn	XXX	6540
NG-spn-P	XXX	6541
NG-spn-T	XXX	6542
NG-spn-K	XXX	6543
NG-spn-B	XXX	6544
NG-spn-D	XXX	6545
NG-spn-G	XXX	6546
NG-spn-CH	XXX	6547
NG-spn-JH	XXX	6548
NG-spn-F	XXX	6549
NG-spn-S	XXX	6550
NG-spn-TH	XXX	6551
NG-spn-SH	XXX	6552
NG-spn-HH	XXX	6553
NG-spn-V	XXX	6554
NG-spn-Z	XXX	6555
NG-spn-DH	XXX	6556
NG-spn-ZH	XXX	6557
NG-spn-M	XXX	6558
NG-spn-N	XXX	6559
NG-spn-NG	XXX	6560
NG-spn-L	XXX	6561
NG-spn-R	XXX	6562
NG-spn-Y	XXX	6563
NG-spn-W	XXX	6564
NG-spn-IY	XXX	6565
NG-spn-IH	XXX	6566
NG-spn-UW	XXX	6567
NG-spn-UH	XXX	6568
NG-spn-EH	XXX	6569
NG-spn-ER	XXX	6570
NG-spn-AO	XXX	6571
NG-spn-AE	XXX	6572
NG-spn-AH	XXX	6573
NG-spn-AA	XXX	6574
NG-spn-EY	XXX	6575
NG-spn-OW	XXX	6576
NG-spn-OY	XXX	6577
NG-spn-AY	XXX	6578
NG-spn-AW	XXX	6579
L-spn-sta	XXX	6580
L-spn-stp	XXX	6581
L-spn-sil	XXX	6582
L-spn-spn	XXX	6583
L-spn-P	XXX	6584
L-spn-T	XXX	6585
L-spn-K	XXX	6586
L-spn-B	XXX	6587
L-spn-D	XXX	6588
L-spn-G	XXX	6589
L-spn-CH	XXX	6590
L-spn-JH	XXX	6591
L-spn-F	XXX	6592
L-spn-S	XXX	6593
L-spn-TH	XXX	6594
L-spn-SH	XXX	6595
L-spn-HH	XXX	6596
L-spn-V	XXX	6597
L-spn-Z	XXX	6598
L-spn-DH	XXX	6599
L-spn-ZH	XXX	6600
L-spn-M	XXX	6601
L-spn-N	XXX	6602
L-spn-NG	XXX	6603
L-spn-L	XXX	6604
L-spn-R	XXX	6605
L-spn-Y	XXX	6606
L-spn-W	XXX	6607
L-spn-IY	XXX	6608
L-spn-IH	XXX	6609
L-spn-UW	XXX	6610
L-spn-UH	XXX	6611
L-spn-EH	XXX	6612
L-spn-ER	XXX	6613
L-spn-AO	XXX	6614
L-spn-AE	XXX	6615
L-spn-AH	XXX	6616
L-spn-AA	XXX	6617
L-spn-EY	XXX	6618
L-spn-OW	XXX	6619
L-spn-OY	XXX	6620
L-spn-AY	XXX	6621
L-spn-AW	XXX	6622
R-spn-sta	XXX	6623
R-spn-stp	XXX	6624
R-spn-sil	XXX	6625
R-spn-spn	XXX	6626
R-spn-P	XXX	6627
R-spn-T	XXX	6628
R-spn-K	XXX	6629
R-spn-B	XXX	6630
R-spn-D	XXX	6631
R-spn-G	XXX	6632
R-spn-CH	XXX	6633
R-spn-JH	XXX	6634
R-spn-F	XXX	6635
R-spn-S	XXX	6636
R-spn-TH	XXX	6637
R-spn-SH	XXX	6638
R-spn-HH	XXX	6639
R-spn-V	XXX	6640
R-spn-Z	XXX	6641
R-spn-DH	XXX	6642
R-spn-ZH	XXX	6643
R-spn-M	XXX	6644
R-spn-N	XXX	6645
R-spn-NG	XXX	6646
R-spn-L	XXX	6647
R-spn-R	XXX	6648
R-spn-Y	XXX	6649
R-spn-W	XXX	6650
R-spn-IY	XXX	6651
R-spn-IH	XXX	6652
R-spn-UW	XXX	6653
R-spn-UH	XXX	6654
R-spn-EH	XXX	6655
R-spn-ER	XXX	6656
R-spn-AO	XXX	6657
R-spn-AE	XXX	6658
R-spn-AH	XXX	6659
R-spn-AA	XXX	6660
R-spn-EY	XXX	6661
R-spn-OW	XXX	6662
R-spn-OY	XXX	6663
R-spn-AY	XXX	6664
R-spn-AW	XXX	6665
Y-spn-sta	XXX	6666
Y-spn-stp	XXX	6667
Y-spn-sil	XXX	6668
Y-spn-spn	XXX	6669
Y-spn-P	XXX	6670
Y-spn-T	XXX	6671
Y-spn-K	XXX	6672
Y-spn-B	XXX	6673
Y-spn-D	XXX	6674
Y-spn-G	XXX	6675
Y-spn-CH	XXX	6676
Y-spn-JH	XXX	6677
Y-spn-F	XXX	6678
Y-spn-S	XXX	6679
Y-spn-TH	XXX	6680
Y-spn-SH	XXX	6681
Y-spn-HH	XXX	6682
Y-spn-V	XXX	6683
Y-spn-Z	XXX	6684
Y-spn-DH	XXX	6685
Y-spn-ZH	XXX	6686
Y-spn-M	XXX	6687
Y-spn-N	XXX	6688
Y-spn-NG	XXX	6689
Y-spn-L	XXX	6690
Y-spn-R	XXX	6691
Y-spn-Y	XXX	6692
Y-spn-W	XXX	6693
Y-spn-IY	XXX	6694
Y-spn-IH	XXX	6695
Y-spn-UW	XXX	6696
Y-spn-UH	XXX	6697
Y-spn-EH	XXX	6698
Y-spn-ER	XXX	6699
Y-spn-AO	XXX	6700
Y-spn-AE	XXX	6701
Y-spn-AH	XXX	6702
Y-spn-AA	XXX	6703
Y-spn-EY	XXX	6704
Y-spn-OW	XXX	6705
Y-spn-OY	XXX	6706
Y-spn-AY	XXX	6707
Y-spn-AW	XXX	6708
W-spn-sta	XXX	6709
W-spn-stp	XXX	6710
W-spn-sil	XXX	6711
W-spn-spn	XXX	6712
W-spn-P	XXX	6713
W-spn-T	XXX	6714
W-spn-K	XXX	6715
W-spn-B	XXX	6716
W-spn-D	XXX	6717
W-spn-G	XXX	6718
W-spn-CH	XXX	6719
W-spn-JH	XXX	6720
W-spn-F	XXX	6721
W-spn-S	XXX	6722
W-spn-TH	XXX	6723
W-spn-SH	XXX	6724
W-spn-HH	XXX	6725
W-spn-V	XXX	6726
W-spn-Z	XXX	6727
W-spn-DH	XXX	6728
W-spn-ZH	XXX	6729
W-spn-M	XXX	6730
W-spn-N	XXX	6731
W-spn-NG	XXX	6732
W-spn-L	XXX	6733
W-spn-R	XXX	6734
W-spn-Y	XXX	6735
W-spn-W	XXX	6736
W-spn-IY	XXX	6737
W-spn-IH	XXX	6738
W-spn-UW	XXX	6739
W-spn-UH	XXX	6740
W-spn-EH	XXX	6741
W-spn-ER	XXX	6742
W-spn-AO	XXX	6743
W-spn-AE	XXX	6744
W-spn-AH	XXX	6745
W-spn-AA	XXX	6746
W-spn-EY	XXX	6747
W-spn-OW	XXX	6748
W-spn-OY	XXX	6749
W-spn-AY	XXX	6750
W-spn-AW	XXX	6751
IY-spn-sta	XXX	6752
IY-spn-stp	XXX	6753
IY-spn-sil	XXX	6754
